,ID,User,Created At,Fav Count,GEO,RE Count,Text
0,986718426520477696,LindaForAmerica,2018-04-18 21:29:39,0,,53,"RT @WomenforTrump: #WomenforTrump is proud to endorse @RepHagan for Congress in #OH16! 

✅Strong conservative w/a proven track record fight…"
1,986718422095589376,WandaPeck,2018-04-18 21:29:38,0,,382,"RT @6mjas1: BREAKING BREAKING! 

I can't believe my eyes! 

Congress just asked DOJ/FBI to INVESTIGATE
 
Comey
Page
Strzok
Hillary
Lynch
Ya…"
2,986718421441302528,SusanLouise1977,2018-04-18 21:29:38,0,,0,"NO, NO, NO NO, NO! We don't need anymore BS/lies, even from a 'possible' pres that is a Dem!
I will never forget TH… https://t.co/arZIzlD3vy"
3,986718419927097344,rockie_springer,2018-04-18 21:29:38,0,,18,"RT @PoliticalShort: ""Comey potentially misled the public related to the level of coordination b/t DOJ &amp; FBI at least 2 times...it's importa…"
4,986718418966536192,soleilbrille18,2018-04-18 21:29:38,0,,164,RT @md2572: I have been retweeting other's #FBRParty Gonna try my own. We need to flip Congress!! The #Resistance will prevail!!  Thanks @N…
5,986718418341646336,TheWeeHours,2018-04-18 21:29:37,0,,0,"Congress Sends Criminal Referral To Sessions, Wray and Prosecutor Huber... https://t.co/iANE1WVe4h via @thelastrefuge2"
6,986718417875972096,spennington33,2018-04-18 21:29:37,0,,758,"RT @TheRickyDavila: Arizona, it’s your turn next week. Let’s fight to help elect Dr. Hiral to Congress and continue the #BlueWave2018 that…"
7,986718417494290432,missb62,2018-04-18 21:29:37,0,,22,RT @DefenseBaron: TODAY: Mattis at Pentagon flatly dismissed news report that he wanted Congress to approve Syria strike. “I have no idea w…
8,986718408564621313,unclewalter1685,2018-04-18 21:29:35,0,,19419,"RT @RepAdamSchiff: When the dark chapter of the Trump presidency is written in the history books, the harshest criticism will be reserved f…"
9,986718407822397446,ResistNow17,2018-04-18 21:29:35,0,,0,@38spl500 @bunnyofdoom1974 I feel you...very true. I’m willing to listen to folks who are willing to listen also. F… https://t.co/cNcZCPqZHh
10,986718405398024197,tgk1991,2018-04-18 21:29:34,0,,791,"RT @kwilli1046: James Comey leaks classified info, lies to Congress under oath, allows the #FBI to be weaponized &amp; lets Hillary go free und…"
11,986718401614827523,jpb1467,2018-04-18 21:29:33,0,,4,RT @OregonJOBS2: 170 Members Of Congress Call For Scott Pruitt's Resignation
12,986718400377446400,evansclinchy,2018-04-18 21:29:33,0,,19419,"RT @RepAdamSchiff: When the dark chapter of the Trump presidency is written in the history books, the harshest criticism will be reserved f…"
