,ID,Name,Created At,Fav Count,GEO,Re Count,Text
0,9.64957E+17,GOPLeader,43148.8452,149,,53,"It’s not our differences that make us stronger. It’s our unity despite our diversity—unity of past, of principles,… https://t.co/u1Y2Jl4P1F"
1,9.64684E+17,GOPLeader,43148.09098,384,,121,"Paychecks are going UP, taxes are going DOWN, and America is once again OPEN FOR BUSINESS! https://t.co/zf6U8M3GSR"
2,9.64646E+17,GOPLeader,43147.98685,0,,18,"RT @townhallcom: Bipartisan Group of Lawmakers Honors Frederick Douglass, Shares What We Can Learn from Him Today https://t.co/Lk8IqMBEN5"
3,9.64321E+17,GOPLeader,43147.09104,203,,69,This type of politicization of the intelligence process is a primary reason why the House Intel Committee was creat… https://t.co/1M4N3tEhJD
4,9.64283E+17,GOPLeader,43146.98688,107,,29,"Thanks to everyone who joined us last night in the Capitol to celebrate the 200th birthday of a great American, Fre… https://t.co/ucvquDlHu9"
5,9.63927E+17,GOPLeader,43146.00188,451,,93,The heart of our nation breaks with the senseless and tragic loss of these young students. Our prayers are with them and their families.
6,9.63867E+17,GOPLeader,43145.83719,0,,13,"RT @RepDougCollins: ""The internet is moving fast, and our legal constructs are not keeping up."" We must act now, and that's why I introduce…"
7,9.63596E+17,GOPLeader,43145.09104,471,,190,"LOWER TAXES, BIG RESULTS:
? 4M Americans have received bonuses, raises, and/or increased benefits
? Hourly wages up… https://t.co/jVzq0muM3f"
8,9.63559E+17,GOPLeader,43144.98692,182,,69,"This plan recognizes what everyone in America knows firsthand: America’s infrastructure is in disrepair, and its lo… https://t.co/zy4RwpmxsM"
9,9.6354E+17,GOPLeader,43144.93542,197,,66,Our military has been underfunded for too long. Last week we fixed this. https://t.co/betDHKXMS2
10,9.63526E+17,GOPLeader,43144.89749,0,,124,RT @KenCalvert: North Korea must release the Americans they continue to hold captive. #USA3 https://t.co/26TXt937Yh
11,9.63432E+17,GOPLeader,43144.63796,160,,104,"What’s in the Dems’ #FISA memo? 

@TGowdySC and @RepRatcliffe explain ?? https://t.co/1xdeUa5Lou"
12,9.63392E+17,GOPLeader,43144.52785,112,,41,"? ""Six of the 10 components that make up the small-business optimism index increased in January, producing one of t… https://t.co/oEQx35wFNY"
13,9.63217E+17,GOPLeader,43144.04376,164,,45,"Happy B-Day, President Lincoln! https://t.co/kweF2d09S1"
14,9.63146E+17,GOPLeader,43143.84935,172,,36,".@POTUS’ bold infrastructure plan would improve American safety, make our economy more efficient, and restore and c… https://t.co/ZhA763vyp4"
15,9.63134E+17,GOPLeader,43143.81425,136,,48,"""Tax Reform: 4.2 million Americans getting a raise, better employee benefits"" https://t.co/3a4hhnVheV https://t.co/Zm9cUcsAIS"
16,9.63111E+17,GOPLeader,43143.75116,0,,454,RT @RepRatcliffe: Both memos &amp; the underlying source documents I reviewed ALL confirm that the FISA court was NOT directly told that the Cl…
17,9.63109E+17,GOPLeader,43143.74655,0,,2805,RT @seanhannity: More fallout from FISA memo https://t.co/RTXFGRSr4B
18,9.63108E+17,GOPLeader,43143.74308,0,,139,RT @FreeBeacon: House Republicans Release Video Explaining FISA Memo https://t.co/ZSGgzifnTu
19,9.63107E+17,GOPLeader,43143.73958,0,,17,"RT @NTKNet: What was in the FISA memo, and why does it matter? Several lawmakers put together a video to explain: https://t.co/CKhUWe31XN"
20,9.62717E+17,GOPLeader,43142.6637,0,,4643,RT @DevinNunes: What DC Media won’t report https://t.co/RHZpeyI9S0
21,9.62046E+17,GOPLeader,43140.81269,0,,152,"RT @RepShimkus: That a political operative could hire someone to compile a dossier, which is then used by federal law enforcement agencies…"
